model,timeseries,sMAPE,MAPE,ShapeSimilarity,Grubbs
Mean Value,Y98,3.12,3.06,1682.66,0
Random Walk,Y98,2.39,2.39,1222.65,0
Arima,Y98,3.48,3.41,1872.86,0
Theta,Y98,26.96,31.76,17345.68,0
Prophet,Y98,1.68,1.69,548.98,0
Last Value,Y99,2.37,2.41,1130.27,0
Mean Value,Y99,4.17,4.07,1944.37,0
Random Walk,Y99,3.04,2.99,1283.04,0
Arima,Y99,2.34,2.39,1119.65,0
Theta,Y99,14.99,16.46,7759.73,0
Prophet,Y99,2.17,2.14,692.77,0
Last Value,Y100,4.62,4.5,2372.97,0
Mean Value,Y100,7.98,7.66,4030.43,0
Random Walk,Y100,2.93,3.0,1201.2,0
Arima,Y100,4.02,3.93,2071.97,0
Theta,Y100,9.87,9.37,4892.79,0
Prophet,Y100,13.41,12.55,6590.52,0
Last Value,Y101,36.87,30.63,4458.73,0
Mean Value,Y101,15.55,14.07,2123.3,0
Random Walk,Y101,16.47,15.02,1720.8,0
Arima,Y101,37.12,30.82,4483.27,0
Theta,Y101,46.11,60.66,8554.52,0
Prophet,Y101,78.41,55.35,7963.43,0
Last Value,Y102,1.27,1.26,684.68,0
Mean Value,Y102,1.25,1.23,672.19,0
Random Walk,Y102,1.19,1.2,600.09,0
Arima,Y102,1.64,1.62,882.97,0
Theta,Y102,3.72,3.64,1970.52,0
Prophet,Y102,7.24,7.52,4039.04,0
Last Value,Y103,34.59,29.48,9060.48,0
Mean Value,Y103,43.23,35.54,10922.07,0
Random Walk,Y103,39.37,32.87,10094.59,0
Arima,Y103,35.42,30.08,9245.3,0
Theta,Y103,90.68,62.01,19022.8,0
Prophet,Y103,44.78,36.58,11241.21,0
Last Value,Y104,5.18,5.34,537.61,0
Mean Value,Y104,6.0,5.79,615.46,0
Random Walk,Y104,6.36,6.28,540.69,0
Arima,Y104,4.69,4.76,484.95,0
Theta,Y104,5.01,4.9,516.79,0
Prophet,Y104,7.36,7.05,727.03,0
Last Value,Y105,32.86,27.53,5101.12,0
Mean Value,Y105,17.41,16.14,2949.2,0
Random Walk,Y105,29.69,24.96,4678.55,0
Arima,Y105,30.49,25.72,4793.82,0
Theta,Y105,95.52,60.03,11202.99,0
Prophet,Y105,53.79,41.32,7564.51,0
Last Value,Y106,16.57,19.7,1825.83,0
Mean Value,Y106,15.29,15.58,1653.76,0
Random Walk,Y106,21.07,24.34,2309.98,0
Arima,Y106,17.01,20.37,1884.35,0
Theta,Y106,20.67,18.28,1983.46,0
Prophet,Y106,15.61,16.72,1671.24,0
Last Value,Y107,4.56,4.69,817.97,0
Mean Value,Y107,18.82,20.82,3662.75,0
Random Walk,Y107,5.91,5.87,998.66,0
Arima,Y107,3.94,4.03,703.99,0
Theta,Y107,28.02,32.73,5755.04,0
Prophet,Y107,19.83,22.08,3885.19,0
Last Value,Y108,21.24,17.8,1964.45,0
Mean Value,Y108,62.83,96.78,8242.81,0
Random Walk,Y108,27.25,22.58,2249.21,0
Arima,Y108,20.24,17.22,1885.86,0
Theta,Y108,42.8,43.55,3890.46,0
Prophet,Y108,27.54,31.66,2220.41,0
Last Value,Y109,26.76,23.1,4835.92,0
Mean Value,Y109,14.69,13.6,2839.8,0
Random Walk,Y109,10.84,9.93,1097.48,0
Arima,Y109,25.89,22.41,4701.11,0
Theta,Y109,19.26,17.25,3278.19,0
Prophet,Y109,21.23,18.76,3653.09,0
Last Value,Y110,4.81,4.67,596.22,0
Mean Value,Y110,4.5,4.64,559.06,0
Random Walk,Y110,8.14,7.75,874.23,0
Arima,Y110,4.62,4.62,553.24,0
Theta,Y110,22.85,19.88,2289.37,0
Prophet,Y110,11.87,12.72,1555.41,0
Last Value,Y111,20.21,23.73,2834.94,0
Mean Value,Y111,11.2,12.28,1450.16,0
Random Walk,Y111,25.47,31.45,3749.15,0
Arima,Y111,20.34,23.9,2855.12,0
Theta,Y111,35.12,28.06,3957.74,0
Prophet,Y111,48.8,38.91,5232.98,0
Last Value,Y112,9.81,9.12,795.02,0
Mean Value,Y112,22.66,26.29,2020.77,0
Random Walk,Y112,17.87,15.85,1364.99,0
Arima,Y112,12.11,11.0,963.33,0
Theta,Y112,32.22,39.25,3058.26,0
Prophet,Y112,12.37,13.53,998.19,0
Last Value,Y113,15.93,16.9,1665.7,0
Mean Value,Y113,16.26,17.39,1701.43,0
Random Walk,Y113,16.24,17.27,1699.75,0
Arima,Y113,16.23,17.38,1698.97,0
Theta,Y113,20.63,23.24,2213.41,0
Prophet,Y113,16.7,18.09,1752.04,0
Last Value,Y114,3.54,3.46,416.01,0
Mean Value,Y114,12.02,12.82,1512.31,0
Random Walk,Y114,5.64,5.42,597.19,0
Arima,Y114,2.26,2.27,262.82,0
Theta,Y114,61.49,41.7,4974.75,0
Prophet,Y114,6.82,6.47,772.77,0
Last Value,Y115,6.47,6.16,666.44,0
Mean Value,Y115,6.81,7.05,712.73,0
Random Walk,Y115,7.69,7.24,480.69,0
Arima,Y115,6.57,6.26,676.83,0
Theta,Y115,14.29,15.62,1568.45,0
Prophet,Y115,5.96,6.07,546.19,0
Last Value,Y116,1.99,2.03,253.75,0
Mean Value,Y116,5.7,5.52,710.03,0
Random Walk,Y116,10.4,11.16,1411.73,0
Arima,Y116,2.37,2.42,303.82,0
Theta,Y116,21.25,19.19,2456.46,0
Prophet,Y116,6.26,6.49,822.75,0
Last Value,Y117,18.02,16.15,2663.08,0
Mean Value,Y117,17.98,16.12,2657.24,0
Random Walk,Y117,27.68,23.78,3656.23,0
Arima,Y117,19.75,17.55,2872.98,0
Theta,Y117,96.21,64.22,10041.44,0
Prophet,Y117,62.53,47.41,7464.97,0
Last Value,Y118,18.51,16.76,2236.82,0
Mean Value,Y118,5.66,5.7,734.04,0
Random Walk,Y118,16.71,15.03,1881.46,0
Arima,Y118,12.07,11.27,1366.76,0
Theta,Y118,47.56,68.82,8930.08,0
Prophet,Y118,6.18,6.2,780.65,0
Last Value,Y119,7.97,7.56,1261.82,0
Mean Value,Y119,5.5,5.27,886.81,0
Random Walk,Y119,17.63,16.04,2607.13,0
Arima,Y119,6.8,6.48,1085.6,0
Theta,Y119,33.3,28.22,4575.13,0
Prophet,Y119,3.9,3.94,616.54,0
Last Value,Y120,9.81,10.34,1091.88,0
Mean Value,Y120,16.24,15.0,1593.79,0
Random Walk,Y120,22.66,26.07,2760.29,0
Arima,Y120,3.6,3.59,338.77,0
Theta,Y120,44.88,36.63,3885.73,0
Prophet,Y120,16.86,15.53,1649.7,0
Last Value,Y121,20.83,24.9,4213.43,0
Mean Value,Y121,22.23,22.2,4441.26,0
Random Walk,Y121,14.18,15.4,2757.45,0
Arima,Y121,21.67,26.59,4397.9,0
Theta,Y121,49.83,37.38,8741.16,0
Prophet,Y121,77.57,55.17,11946.86,0
Last Value,Y122,44.31,35.95,7813.07,0
Mean Value,Y122,14.26,12.88,2953.55,0
Random Walk,Y122,71.7,51.74,11124.14,0
Arima,Y122,48.76,38.9,8433.73,0
Theta,Y122,16.62,16.07,2776.61,0
Prophet,Y122,28.11,24.17,5354.36,0
Last Value,Y123,8.0,8.71,1041.49,0
Mean Value,Y123,13.82,12.65,1744.24,0
Random Walk,Y123,10.05,11.12,1337.78,0
Arima,Y123,9.71,9.17,968.56,0
Theta,Y123,11.91,11.07,1520.76,0
Prophet,Y123,13.11,12.0,1660.97,0
Last Value,Y124,9.33,9.89,1304.0,0
Mean Value,Y124,10.0,10.25,1398.69,0
Random Walk,Y124,17.33,19.99,1923.19,0
Arima,Y124,13.21,12.41,1835.86,0
Theta,Y124,79.98,49.77,7327.2,0
Prophet,Y124,42.41,34.18,5037.09,0
Last Value,Y125,1.1,1.1,522.28,0
Mean Value,Y125,14.69,15.86,7540.74,0
Random Walk,Y125,7.58,7.23,3444.08,0
Arima,Y125,1.54,1.55,735.3,0
Theta,Y125,22.05,24.79,11788.1,0
Prophet,Y125,20.9,23.35,11103.72,0
Last Value,Y126,12.92,13.94,3099.01,0
Mean Value,Y126,33.16,40.81,9127.52,0
Random Walk,Y126,12.62,13.4,2550.6,0
Arima,Y126,20.56,23.52,4626.42,0
Theta,Y126,82.6,56.97,13471.8,0
Prophet,Y126,24.62,28.63,5203.27,0
Last Value,Y127,4.13,4.24,1692.4,0
Mean Value,Y127,9.16,9.62,3864.14,0
Random Walk,Y127,6.18,6.51,2550.67,0
Arima,Y127,6.24,6.46,2588.33,0
Theta,Y127,26.14,30.7,12291.13,0
Prophet,Y127,5.22,5.37,2154.31,0
Last Value,Y128,2.93,2.99,1627.69,0
Mean Value,Y128,2.13,2.1,1177.26,0
Random Walk,Y128,2.81,2.88,1324.13,0
Arima,Y128,1.67,1.67,926.29,0
Theta,Y128,5.68,5.5,3027.5,0
Prophet,Y128,2.29,2.25,1185.92,0
Last Value,Y129,9.17,9.55,1840.45,0
Mean Value,Y129,42.56,54.62,10541.93,0
Random Walk,Y129,9.34,9.04,1574.05,0
Arima,Y129,10.56,9.72,2037.55,0
Theta,Y129,68.48,104.83,20365.52,0
Prophet,Y129,11.61,11.01,2267.85,0
Last Value,Y130,2.14,2.16,863.51,0
Mean Value,Y130,5.69,5.89,2349.38,0
Random Walk,Y130,2.58,2.63,859.14,0
Arima,Y130,2.53,2.57,1022.43,0
Theta,Y130,14.31,12.8,5225.06,0
Prophet,Y130,4.76,4.92,1953.96,0
Last Value,Y131,2.49,2.53,1219.46,0
Mean Value,Y131,2.64,2.6,1286.21,0
Random Walk,Y131,2.55,2.6,1245.21,0
Arima,Y131,2.61,2.65,1256.49,0
Theta,Y131,6.47,6.21,3069.66,0
Prophet,Y131,3.19,3.12,1523.0,0
Last Value,Y132,1.97,2.0,840.37,0
Mean Value,Y132,2.83,2.78,1199.92,0
Random Walk,Y132,6.13,6.44,2710.86,0
Arima,Y132,1.96,2.0,838.03,0
Theta,Y132,11.89,12.95,5461.7,0
Prophet,Y132,4.98,4.85,2080.34,0
Last Value,Y133,27.15,23.43,8874.21,0
Mean Value,Y133,78.23,56.04,20538.01,0
Random Walk,Y133,26.68,22.79,8713.47,0
Arima,Y133,26.97,23.29,8824.21,0
Theta,Y133,157.59,88.06,32053.41,0
Prophet,Y133,4.5,4.41,1088.88,0
Last Value,Y134,21.77,19.2,15852.94,0
Mean Value,Y134,99.04,66.14,52298.84,0
Random Walk,Y134,22.77,19.85,16134.33,0
Arima,Y134,7.96,7.56,4444.93,0
Theta,Y134,145.38,84.19,66185.69,0
Prophet,Y134,146.27,84.45,66536.45,0
Last Value,Y135,32.48,27.43,19927.36,0
Mean Value,Y135,95.62,64.54,45382.45,0
Random Walk,Y135,24.12,21.15,14515.83,0
Arima,Y135,24.67,21.66,14710.01,0
Theta,Y135,168.68,91.5,63778.44,0
Prophet,Y135,93.85,63.72,44811.54,0
Last Value,Y136,27.51,23.31,6607.14,0
Mean Value,Y136,114.3,72.58,19161.12,0
Random Walk,Y136,9.8,9.14,1883.83,0
Arima,Y136,14.23,13.11,3086.63,0
Theta,Y136,176.19,93.67,24519.43,0
Prophet,Y136,85.33,59.53,15823.82,0
Last Value,Y137,14.95,13.84,3169.48,0
Mean Value,Y137,107.3,69.82,15818.5,0
Random Walk,Y137,7.79,7.46,1398.63,0
Arima,Y137,4.72,4.56,598.15,0
Theta,Y137,186.23,96.43,21830.85,0
Prophet,Y137,163.12,89.78,20306.8,0
Last Value,Y138,14.78,13.39,11465.28,0
Mean Value,Y138,62.6,47.51,38758.15,0
Random Walk,Y138,4.78,4.81,2572.25,0
Arima,Y138,14.92,13.51,11559.85,0
Theta,Y138,161.16,89.17,72227.07,0
Prophet,Y138,86.29,59.56,48544.04,0
Last Value,Y139,17.93,15.86,12181.49,0
Mean Value,Y139,78.4,56.11,40249.34,0
Random Walk,Y139,27.89,23.53,17741.64,0
Arima,Y139,17.03,15.08,11643.81,0
Theta,Y139,101.43,67.29,47615.17,0
Prophet,Y139,59.87,45.8,33039.89,0
Last Value,Y140,27.01,23.45,11605.46,0
Mean Value,Y140,46.83,37.69,18359.86,0
Random Walk,Y140,24.28,21.4,10561.12,0
Arima,Y140,24.46,21.44,10646.57,0
Theta,Y140,47.84,38.5,18633.02,0
Prophet,Y140,24.91,21.97,10788.14,0
Last Value,Y141,25.63,22.13,7710.87,0
Mean Value,Y141,106.09,69.19,22984.96,0
Random Walk,Y141,22.86,19.55,6854.52,0
Arima,Y141,15.7,14.36,4682.73,0
Theta,Y141,180.98,95.01,31348.87,0
Prophet,Y141,74.97,54.31,18139.78,0
Last Value,Y142,36.92,30.03,13761.98,0
Mean Value,Y142,81.71,57.5,24912.59,0
Random Walk,Y142,54.73,40.36,18641.47,0
Arima,Y142,37.93,30.79,14058.66,0
Theta,Y142,160.03,88.89,37540.32,0
Prophet,Y142,152.84,86.54,36726.69,0
Last Value,Y143,25.25,22.24,7660.88,0
Mean Value,Y143,122.17,75.82,25691.15,0
Random Walk,Y143,30.73,26.15,9047.46,0
Arima,Y143,15.34,14.1,4895.95,0
Theta,Y143,186.64,96.54,32657.03,0
Prophet,Y143,169.16,91.59,30953.92,0
Last Value,Y144,36.39,30.08,14000.52,0
Mean Value,Y144,107.61,69.79,31107.65,0
Random Walk,Y144,23.96,21.02,8793.45,0
Arima,Y144,33.83,28.17,13192.75,0
Theta,Y144,158.1,88.29,38895.15,0
Prophet,Y144,156.9,87.87,38881.96,0
Last Value,Y145,27.54,23.68,24648.86,0
Mean Value,Y145,95.41,64.44,64434.38,0
Random Walk,Y145,32.16,26.83,28023.87,0
Arima,Y145,12.17,11.26,10336.68,0
Theta,Y145,156.95,87.94,87149.23,0
Prophet,Y145,82.33,58.13,58254.95,0
Last Value,Y146,33.05,27.76,19441.14,0
Mean Value,Y146,75.11,54.32,36808.41,0
Random Walk,Y146,36.44,30.11,21011.95,0
Arima,Y146,33.15,27.83,19489.42,0
Theta,Y146,152.91,86.59,57985.22,0
Prophet,Y146,117.51,73.64,49612.01,0
Last Value,Y147,21.75,19.34,3200.74,0
Mean Value,Y147,58.06,44.85,7264.67,0
Random Walk,Y147,32.74,27.45,4551.19,0
Arima,Y147,5.49,5.24,600.5,0
Theta,Y147,115.7,72.52,11758.84,0
Prophet,Y147,11.45,10.72,1163.54,0
Last Value,Y148,22.99,20.13,10744.37,0
Mean Value,Y148,99.61,66.38,33854.41,0
Random Walk,Y148,41.51,33.25,17577.94,0
Arima,Y148,16.92,15.29,7413.76,0
Theta,Y148,182.92,95.54,48391.49,0
Prophet,Y148,170.65,92.02,46662.65,0
Last Value,Y149,13.85,12.88,2519.76,0
Mean Value,Y149,114.63,72.86,14086.75,0
Random Walk,Y149,7.92,7.48,1077.39,0
Arima,Y149,5.17,5.37,948.65,0
Theta,Y149,188.1,96.93,18727.74,0
Prophet,Y149,167.41,91.06,17575.28,0
Last Value,Y150,11.61,10.72,6457.67,0
Mean Value,Y150,54.46,42.69,24683.51,0
Random Walk,Y150,13.01,12.0,6056.78,0
Arima,Y150,11.96,11.04,6639.34,0
Theta,Y150,107.57,69.87,40216.59,0
Prophet,Y150,58.16,44.39,25858.29,0
Last Value,Y151,17.74,16.18,2290.14,0
Mean Value,Y151,89.29,61.7,8616.42,0
Random Walk,Y151,23.71,20.85,2956.42,0
Arima,Y151,8.09,7.72,704.11,0
Theta,Y151,179.24,94.52,13175.38,0
Prophet,Y151,65.97,49.57,6927.94,0
Last Value,Y152,25.3,22.01,13513.18,0
Mean Value,Y152,115.39,73.1,43137.49,0
Random Walk,Y152,32.8,27.59,16826.15,0
Arima,Y152,23.1,20.25,12489.77,0
Theta,Y152,189.97,97.43,57230.63,0
Prophet,Y152,190.67,97.6,57362.43,0
Last Value,Y153,38.5,31.6,28735.44,0
Mean Value,Y153,67.56,50.09,44373.53,0
Random Walk,Y153,39.62,32.35,29405.05,0
Arima,Y153,38.49,31.6,28734.58,0
Theta,Y153,83.59,56.53,51219.61,0
Prophet,Y153,63.16,47.59,42219.63,0
Last Value,Y154,27.9,23.7,6650.46,0
Mean Value,Y154,50.62,39.86,10772.64,0
Random Walk,Y154,38.95,31.43,8728.99,0
Arima,Y154,29.75,25.08,7018.55,0
Theta,Y154,140.62,82.51,21561.31,0
Prophet,Y154,62.36,47.09,12622.76,0
Last Value,Y155,33.86,27.67,31167.63,0
Mean Value,Y155,92.25,62.7,65457.15,0
Random Walk,Y155,31.8,26.03,29053.93,0
Arima,Y155,33.54,27.44,30937.74,0
Theta,Y155,127.0,77.66,79328.65,0
Prophet,Y155,130.2,78.7,81128.99,0
Last Value,Y156,15.34,14.11,3246.25,0
Mean Value,Y156,107.95,70.08,15833.16,0
Random Walk,Y156,14.31,12.97,3007.5,0
Arima,Y156,4.02,3.93,380.21,0
Theta,Y156,183.24,95.62,21568.98,0
Prophet,Y156,165.16,90.38,20388.15,0
Last Value,Y157,22.35,19.48,4767.22,0
Mean Value,Y157,109.02,70.44,16222.11,0
Random Walk,Y157,6.44,6.11,1306.3,0
Arima,Y157,9.35,8.85,1623.23,0
Theta,Y157,173.6,92.93,21265.52,0
Prophet,Y157,79.44,56.65,13113.53,0
Last Value,Y158,15.01,13.88,3179.98,0
Mean Value,Y158,107.39,69.86,15822.7,0
Random Walk,Y158,11.04,10.38,2380.36,0
Arima,Y158,4.78,4.62,595.52,0
Theta,Y158,186.48,96.5,21839.38,0
Prophet,Y158,163.55,89.91,20329.89,0
Last Value,Y159,28.13,24.51,10052.32,0
Mean Value,Y159,98.17,65.81,26673.7,0
Random Walk,Y159,43.21,34.61,14312.13,0
Arima,Y159,15.23,14.06,5334.2,0
Theta,Y159,182.62,95.43,38624.29,0
Prophet,Y159,106.77,68.71,28047.55,0
Last Value,Y160,11.2,10.55,2144.48,0
Mean Value,Y160,102.17,67.62,13604.6,0
Random Walk,Y160,22.08,19.48,3970.35,0
Arima,Y160,1.96,1.98,375.91,0
Theta,Y160,192.31,98.04,19712.44,0
Prophet,Y160,170.3,91.9,18469.13,0
Last Value,Y161,6.6,6.38,3702.32,0
Mean Value,Y161,44.48,36.39,21058.66,0
Random Walk,Y161,10.45,9.78,5681.8,0
Arima,Y161,5.34,5.2,3014.77,0
Theta,Y161,137.33,81.39,47078.74,0
Prophet,Y161,86.33,59.95,34726.32,0
Last Value,Y162,24.0,20.81,19602.07,0
Mean Value,Y162,103.89,68.24,60853.15,0
Random Walk,Y162,29.54,24.84,23248.58,0
Arima,Y162,14.78,13.44,11170.04,0
Theta,Y162,179.64,94.63,83798.62,0
Prophet,Y162,90.83,60.95,55081.86,0
Last Value,Y163,20.29,17.97,4086.04,0
Mean Value,Y163,112.02,71.73,15539.74,0
Random Walk,Y163,37.61,30.36,6873.02,0
Arima,Y163,8.94,8.44,1487.14,0
Theta,Y163,180.27,94.81,20442.32,0
Prophet,Y163,166.64,90.84,19612.35,0
Last Value,Y164,9.67,9.13,4318.64,0
Mean Value,Y164,44.9,36.62,17022.67,0
Random Walk,Y164,11.93,10.97,5214.45,0
Arima,Y164,9.44,8.92,4221.34,0
Theta,Y164,104.79,68.74,31873.64,0
Prophet,Y164,58.85,44.98,20981.89,0
Last Value,Y165,26.2,22.82,17675.26,0
Mean Value,Y165,124.74,76.78,57699.61,0
Random Walk,Y165,25.02,21.81,16896.34,0
Arima,Y165,13.89,12.88,7559.89,0
Theta,Y165,192.51,98.09,73503.99,0
Prophet,Y165,192.06,97.97,73420.33,0
Last Value,Y166,11.38,10.47,11205.95,0
Mean Value,Y166,96.94,65.23,66076.41,0
Random Walk,Y166,8.76,8.37,6366.15,0
Arima,Y166,7.94,7.52,8022.56,0
Theta,Y166,149.17,85.39,86274.25,0
Prophet,Y166,140.36,82.46,83168.37,0
Last Value,Y167,14.22,13.15,12304.81,0
Mean Value,Y167,76.0,55.03,50598.82,0
Random Walk,Y167,4.12,4.01,2873.77,0
Arima,Y167,6.36,6.15,4077.6,0
Theta,Y167,131.47,79.33,72767.82,0
Prophet,Y167,72.65,52.45,48312.4,0
Last Value,Y168,16.56,15.21,3517.03,0
Mean Value,Y168,90.43,62.25,14250.85,0
Random Walk,Y168,16.0,14.62,3383.78,0
Arima,Y168,8.68,8.29,1679.25,0
Theta,Y168,176.68,93.81,21447.73,0
Prophet,Y168,96.31,64.18,14677.37,0
Last Value,Y169,29.01,24.83,17561.71,0
Mean Value,Y169,104.19,68.39,46533.09,0
Random Walk,Y169,34.43,28.92,20198.98,0
Arima,Y169,13.78,12.73,7130.1,0
Theta,Y169,174.32,93.13,62996.06,0
Prophet,Y169,123.75,75.94,51727.37,0
Last Value,Y170,23.98,21.11,10451.09,0
Mean Value,Y170,104.07,68.39,32937.93,0
Random Walk,Y170,20.59,18.4,9122.76,0
Arima,Y170,9.83,9.32,3138.24,0
Theta,Y170,173.79,92.99,44620.38,0
Prophet,Y170,159.58,88.71,42587.48,0
Last Value,Y171,12.19,11.29,2484.76,0
Mean Value,Y171,76.61,55.29,11695.51,0
Random Walk,Y171,32.23,26.67,5852.36,0
Arima,Y171,4.12,4.05,857.29,0
Theta,Y171,114.35,72.69,15337.47,0
Prophet,Y171,49.66,39.64,8421.36,0
Last Value,Y172,9.77,9.22,1323.28,0
Mean Value,Y172,84.19,146.04,20259.9,0
Random Walk,Y172,87.5,55.7,7956.73,0
Arima,Y172,10.02,9.45,1355.66,0
Theta,Y172,113.09,263.64,36876.74,0
Prophet,Y172,103.72,216.66,30063.96,0
Last Value,Y173,5.16,4.99,5801.8,0
Mean Value,Y173,73.45,53.71,61489.81,0
Random Walk,Y173,9.82,9.16,10148.32,0
Arima,Y173,2.57,2.58,2686.61,0
Theta,Y173,151.43,86.18,98591.35,0
Prophet,Y173,119.51,74.76,85478.3,0
Last Value,Y174,4.56,4.41,900.99,0
Mean Value,Y174,61.79,47.18,9384.24,0
Random Walk,Y174,11.81,10.88,2078.0,0
Arima,Y174,3.38,3.37,673.68,0
Theta,Y174,111.15,71.21,14159.16,0
Prophet,Y174,104.79,68.75,13640.26,0
Last Value,Y175,1.58,1.57,333.75,0
Mean Value,Y175,17.05,15.7,3335.79,0
Random Walk,Y175,4.72,4.59,974.63,0
Arima,Y175,1.73,1.72,366.76,0
Theta,Y175,49.65,39.77,8437.86,0
Prophet,Y175,23.84,21.28,4519.91,0
Last Value,Y176,4.88,4.69,346.32,0
Mean Value,Y176,4.93,5.04,351.28,0
Random Walk,Y176,17.86,15.49,1143.97,0
Arima,Y176,5.02,4.82,355.97,0
Theta,Y176,47.4,36.54,2653.22,0
Prophet,Y176,8.66,8.18,597.62,0
Last Value,Y177,6.54,6.78,1487.47,0
Mean Value,Y177,84.17,59.17,13655.08,0
Random Walk,Y177,13.87,15.51,3141.31,0
Arima,Y177,7.21,7.64,1650.04,0
Theta,Y177,150.1,85.74,19724.5,0
Prophet,Y177,116.42,73.5,16904.67,0
Last Value,Y178,7.85,7.8,738.74,0
Mean Value,Y178,12.4,11.36,1132.22,0
Random Walk,Y178,12.05,12.1,818.67,0
Arima,Y178,7.85,8.01,738.35,0
Theta,Y178,14.64,13.92,1162.19,0
Prophet,Y178,9.14,8.57,854.33,0
Last Value,Y179,8.88,8.47,1084.05,0
Mean Value,Y179,54.52,42.82,5443.92,0
Random Walk,Y179,17.91,16.26,2083.24,0
Arima,Y179,5.23,5.09,544.94,0
Theta,Y179,102.54,67.76,8611.47,0
Prophet,Y179,90.64,62.33,7920.25,0
Last Value,Y180,17.88,16.22,4742.51,0
Mean Value,Y180,91.91,62.92,17977.63,0
Random Walk,Y180,25.73,21.96,6469.84,0
Arima,Y180,9.76,9.21,2081.53,0
Theta,Y180,166.22,90.77,25865.84,0
Prophet,Y180,77.65,54.44,15730.39,0
Last Value,Y181,18.12,16.37,10547.22,0
Mean Value,Y181,50.34,40.08,25243.81,0
Random Walk,Y181,21.74,19.27,12402.94,0
Arima,Y181,12.87,11.92,7717.88,0
Theta,Y181,90.96,62.39,39139.88,0
Prophet,Y181,45.46,36.7,23188.45,0
Last Value,Y182,4.38,4.25,595.08,0
Mean Value,Y182,24.12,21.5,2968.29,0
Random Walk,Y182,2.17,2.17,253.73,0
Arima,Y182,4.16,4.04,566.69,0
Theta,Y182,17.36,15.49,1973.11,0
Prophet,Y182,9.19,9.65,1119.24,0
Last Value,Y183,8.36,7.96,6015.41,0
Mean Value,Y183,57.61,44.7,33298.32,0
Random Walk,Y183,10.26,9.57,7043.36,0
Arima,Y183,0.11,0.11,84.74,0
Theta,Y183,96.72,65.19,48491.43,0
Prophet,Y183,92.56,63.23,47074.18,0
Last Value,Y184,4.29,4.18,528.67,0
Mean Value,Y184,38.84,32.51,4076.0,0
Random Walk,Y184,2.01,1.98,249.01,0
Arima,Y184,0.5,0.5,60.9,0
Theta,Y184,78.46,56.34,7054.46,0
Prophet,Y184,63.04,47.9,6003.11,0
Last Value,Y185,2.25,2.28,178.7,0
Mean Value,Y185,4.29,4.39,344.97,0
Random Walk,Y185,4.16,4.01,290.24,0
Arima,Y185,0.7,0.71,42.69,0
Theta,Y185,12.92,12.09,954.15,0
Prophet,Y185,10.17,10.77,845.3,0
Last Value,Y186,0.9,0.9,111.34,0
Mean Value,Y186,20.37,18.49,2284.03,0
Random Walk,Y186,7.7,8.21,995.76,0
Arima,Y186,0.15,0.15,13.99,0
Theta,Y186,42.84,35.25,4353.26,0
Prophet,Y186,19.9,18.09,2233.57,0
Last Value,Y187,1.32,1.31,365.73,0
Mean Value,Y187,15.28,14.2,3949.18,0
Random Walk,Y187,2.04,2.07,546.63,0
Arima,Y187,0.12,0.12,34.67,0
Theta,Y187,31.55,27.25,7576.69,0
Prophet,Y187,12.83,12.05,3351.03,0
Last Value,Y188,0.75,0.76,100.01,0
Mean Value,Y188,6.5,6.3,834.39,0
Random Walk,Y188,6.62,6.97,921.58,0
Arima,Y188,0.04,0.04,5.69,0
Theta,Y188,26.9,23.7,3140.67,0
Prophet,Y188,3.67,3.58,475.3,0
Last Value,Y189,3.48,3.41,2117.08,0
Mean Value,Y189,47.07,38.09,23476.22,0
Random Walk,Y189,3.4,3.47,2128.9,0
Arima,Y189,0.06,0.06,40.59,0
Theta,Y189,93.06,63.51,39114.94,0
Prophet,Y189,78.15,56.15,34599.55,0
Last Value,Y190,28.13,24.36,14884.42,0
Mean Value,Y190,17.53,15.76,9824.43,0
Random Walk,Y190,12.8,13.87,6616.72,0
Arima,Y190,26.8,23.35,14273.27,0
Theta,Y190,19.77,18.35,11124.94,0
Prophet,Y190,11.02,10.23,6446.04,0
Last Value,Y191,20.45,18.11,5885.33,0
Mean Value,Y191,39.2,49.84,14834.42,0
Random Walk,Y191,106.96,65.22,21023.97,0
Arima,Y191,20.56,18.2,5914.0,0
Theta,Y191,52.24,87.25,24652.69,0
Prophet,Y191,47.42,63.28,18955.36,0
Last Value,Y192,12.28,11.22,4333.17,0
Mean Value,Y192,10.23,11.13,3751.66,0
Random Walk,Y192,39.19,31.03,11796.47,0
Arima,Y192,12.9,11.77,4529.9,0
Theta,Y192,11.32,10.97,4040.02,0
Prophet,Y192,27.09,23.49,8413.45,0
Last Value,Y193,4.95,4.76,3387.05,0
Mean Value,Y193,24.24,21.54,14871.06,0
Random Walk,Y193,3.58,3.48,1906.81,0
Arima,Y193,4.26,4.16,2918.33,0
Theta,Y193,20.55,18.21,10226.49,0
Prophet,Y193,44.07,36.06,24786.75,0
Last Value,Y194,8.2,7.71,4659.25,0
Mean Value,Y194,41.18,34.04,19794.31,0
Random Walk,Y194,12.37,11.36,6820.91,0
Arima,Y194,8.11,7.65,4610.99,0
Theta,Y194,9.74,9.19,3776.3,0
Prophet,Y194,57.72,44.72,25921.99,0
Last Value,Y195,4.93,4.78,3753.64,0
Mean Value,Y195,52.57,41.55,31689.58,0
Random Walk,Y195,12.18,11.16,6229.36,0
Arima,Y195,4.79,4.76,3644.65,0
